#compound Initial Optimized Reoptimized Retrained
2300J3 9.754 2.379 2.379 4.395
2300J4 5.054 1.392 1.392 1.986
2300J5 7.216 1.573 1.573 1.689
2300J6 4.995 1.496 1.496 1.809
2300J8 4.068 1.474 1.474 1.554
2300J7 4.563 2.118 2.118 3.289
2300JA 4.821 1.481 1.481 1.953
2300J9 7.609 2.741 2.741 3.315
2300JB 4.14 1.496 1.496 2.174
2300JC 3.381 1.161 1.161 1.288
2300JD 3.644 4.665 4.665 4.737
2300JE 3.76 3.27 3.27 3.705
2300JF 3.238 2.38 2.38 2.644
2300JH 1.58 1.413 1.413 1.43
