#compound QM_x QM_y QM_z Initial_x Initial_y Initial_z Optimized_x Optimized_y Optimized_z Reoptimized_x Reoptimized_y Reoptimized_z Retrained_x Retrained_y Retrained_z
230075 3.843 -3.139 -0.001 2.891 3.481 -0.001 3.811 -3.134 0.0 3.752 -2.848 -0.001 3.93 -2.287 -0.001
230076 0.508 -0.193 0.679 -0.776 -0.344 0.737 0.512 -0.192 0.681 0.512 -0.192 0.681 0.242 -0.235 0.691
230077 -1.58 -0.724 -0.986 -2.007 -1.317 -4.04 -1.6 -0.74 -0.989 -1.531 -0.694 -0.982 -1.602 -1.057 -1.181
230078 0.046 -2.335 0.45 -1.655 -1.384 0.479 0.037 -2.164 0.405 0.037 -2.164 0.405 0.144 0.657 0.467
23007A -4.393 1.83 2.809 -3.038 2.034 2.573 -3.786 1.608 2.43 -3.786 1.608 2.43 -3.868 1.61 2.41
23007B 0.399 -0.652 1.828 -0.152 0.027 2.344 0.401 -0.615 1.799 0.401 -0.615 1.799 0.44 -0.549 1.842
23007C 0.21 -0.613 1.523 0.579 -1.118 1.312 0.183 -0.618 1.53 0.183 -0.618 1.53 0.498 -0.691 1.662
23007D -5.234 -0.127 0.001 -0.455 0.661 0.002 -5.148 -0.158 0.001 -5.148 -0.158 0.001 -2.508 -0.99 0.001
23007E 4.282 0.319 -0.24 5.034 0.08 -0.442 3.877 0.295 -0.219 3.877 0.295 -0.219 3.98 0.267 -0.303
23007G -1.15 1.009 0.655 -2.712 -1.872 0.42 -0.985 0.991 0.387 -0.985 0.991 0.387 -0.809 0.127 0.389
23007I 4.907 -3.637 -0.14 4.365 -4.576 0.278 4.449 -3.422 -0.099 4.449 -3.422 -0.099 4.299 -3.263 -0.196
23007J 3.938 -2.961 0.317 4.461 -4.851 1.061 3.864 -2.855 0.391 3.864 -2.855 0.391 2.88 -1.954 0.46
