#compound Initial Optimized Reoptimized Retrained
2300FT 9.37 1.92 1.92 3.97
2300FV 7.31 7.31 7.31 13.92
2300FW 5.91 1.37 1.37 10.06
2300FY 9.79 2.88 2.88 4.6
2300G1 24.0 0.05 0.05 35.6
2300G3 50.52 2.2 2.2 5.46
2300G4 3.69 2.2 2.2 2.29
2300G5 139.83 0.04 0.18 18.68
2300G6 41.57 0.86 0.86 18.53
2300G8 24.94 0.58 0.58 9.41
2300G9 19.55 6.68 5.99 12.84
2300GA 79.86 0.3 0.3 33.82
2300GB 28.22 3.92 3.92 3.92
2300GC 162.16 1.11 1.11 72.47
2300GE 23.87 0.91 0.91 7.09
2300GF 13.28 0.17 0.17 9.32
2300GK 22.27 1.62 1.62 10.08
2300GJ 131.25 4.39 4.39 8.13
2300GN 124.46 0.62 0.66 7.07
2300GP 15.83 0.25 0.25 2.63
2300GQ 23.23 0.26 0.26 26.93
2300GR 96.37 0.18 0.18 22.74
2300GS 106.5 13.14 13.14 110.1
2300GT 146.13 1.21 1.21 107.12
2300GV 5.26 1.25 1.25 5.34
2300GX 115.41 1.02 1.66 96.55
2300GY 11.75 0.66 0.66 4.7
2300GZ 1.89 1.0 1.0 6.68
2300H0 4.79 0.48 0.32 0.66
2300H1 26.89 0.02 0.02 4.76
2300H3 20.18 1.42 1.42 0.83
2300H4 9.75 0.91 0.91 0.57
2300H5 31.39 5.97 5.97 5.82
2300H6 16.77 2.71 2.49 20.85
2300H8 14.92 0.28 0.28 0.29
2300H9 43.15 0.29 0.29 15.06
2300HA 34.98 0.16 0.16 6.38
2300HD 27.04 0.39 0.39 11.9
2300HF 2.72 0.63 0.63 0.65
2300HE 27.71 0.85 0.85 3.0
2300HG 15.63 1.79 1.01 14.73
2300HH 54.26 0.65 0.65 13.25
2300HI 4.18 1.0 1.0 2.25
2300HJ 0.2 0.29 0.29 0.89
2300HK 4.35 0.99 0.99 16.32
2300HM 13.46 0.91 0.91 8.0
2300HN 87.22 0.21 0.21 2.22
2300HO 36.17 1.62 1.62 18.26
2300HP 13.21 0.46 0.46 0.11
2300HQ 5.88 0.06 0.06 0.03
2300HR 42.61 1.87 1.87 2.28
2300HS 10.55 0.99 0.99 2.56
2300HU 29.8 1.16 1.16 20.74
2300HV 85.84 0.63 0.63 46.29
2300HW 3.96 0.47 0.47 1.88
2300HX 15.14 0.13 0.13 7.76
2300HZ 11.3 0.19 0.19 4.11
2300I1 0.0 0.22 0.22 0.0
2300I2 45.7 0.63 0.63 18.99
2300I3 1.31 0.17 0.17 2.73
2300I5 0.93 0.85 0.85 0.63
2300I6 17.84 2.27 2.27 2.26
2300I8 8.94 0.3 0.3 12.19
2300IA 29.28 1.06 1.06 19.34
2300IC 11.64 2.89 2.89 3.79
2300IE 13.0 3.79 3.79 5.37
2300IG 20.38 2.83 2.83 3.49
2300IH 15.18 5.35 5.35 103.87
2300IJ 16.2 0.59 0.59 4.62
2300II 23.55 2.71 2.07 29.61
2300IL 140.47 0.04 0.04 8.6
2300IM 7.05 2.08 2.08 15.16
2300IN 17.91 0.05 0.05 17.77
2300IO 15.02 0.61 0.61 5.28
2300IR 34.04 0.24 0.24 25.87
2300IV 0.43 1.31 1.31 7.28
2300IU 22.72 0.3 0.3 9.11
2300IW 34.03 2.24 2.24 12.27
2300IY 14.03 0.82 0.24 1.58
2300J0 38.55 1.0 1.0 3.01
2300IZ 19.56 0.1 0.1 3.99
2300J1 4.09 0.58 0.58 12.43
2300J2 34.87 0.19 0.19 19.5
2300J4 46.36 0.71 0.71 11.87
2300J5 18.15 0.29 0.29 0.38
2300J8 23.43 5.66 5.66 14.51
2300JA 79.11 3.96 3.96 22.03
2300JD 5.56 0.82 0.82 3.01
2300JE 9.22 1.74 1.74 15.54
2300JF 10.55 4.87 4.87 10.08
2300JH 6.59 8.85 8.85 7.8
2300JG 9.32 3.5 3.5 3.17
2300JI 18.96 0.25 0.44 6.56
2300JK 73.92 0.47 0.47 25.5
2300JL 8.73 2.39 2.39 4.52
2300JM 15.28 2.12 2.12 2.28
2300JP 9.75 1.3 1.3 5.66
2300JQ 11.35 0.04 0.04 3.12
2300JR 75.31 0.23 0.23 7.48
2300JS 8.54 121.0 121.0 7.8
2300JT 13.9 0.51 0.51 2.4
2300JV 9.57 1.1 1.1 3.42
2300JW 8.54 0.62 0.62 4.72
2300K0 20.8 1.0 1.0 9.16
2300K1 23.84 0.62 0.62 1.03
2300JZ 46.89 0.34 0.34 21.72
2300K3 36.04 0.03 0.03 2.29
2300K5 43.26 0.85 0.85 5.17
2300K8 14.72 0.14 2.46 15.93
2300KA 13.83 3.91 3.91 5.51
2300KC 24.04 1.2 1.2 2.18
2300KE 27.25 0.38 0.38 2.95
2300KF 7.76 0.77 0.77 2.39
2300KG 2.74 0.52 0.52 0.54
2300KH 3.36 0.06 0.06 5.67
2300KI 26.55 1.52 1.52 1.66
2300KL 39.81 0.76 0.76 1.75
2300KM 18.13 5.69 5.69 6.9
2300KN 2.39 0.29 0.29 0.33
2300KP 4.45 0.76 0.76 1.33
2300KQ 126.01 0.74 0.74 18.95
2300KR 8.38 1.68 1.68 3.79
2300KS 19.95 0.13 0.13 6.87
2300KT 6.62 0.56 0.56 1.41
2300KV 5.41 4.08 4.08 3.89
2300KW 5.64 0.24 0.24 2.61
2300KY 13.77 0.68 0.46 17.29
2300KZ 32.19 0.21 0.21 1.46
2300L2 14.38 7.14 7.14 10.34
2300L4 1.9 1.19 0.98 1.7
2300L6 29.65 2.92 2.92 8.53
2300L7 12.26 0.21 0.21 3.58
2300L9 14.93 0.4 0.4 20.84
2300LB 20.55 0.59 0.59 0.68
2300LD 11.91 2.24 2.24 2.94
2300LK 21.73 0.64 0.64 6.44
2300LL 33.58 1.32 1.32 0.96
2300LP 61.78 0.51 0.51 1.86
2300LQ 0.75 0.28 0.28 3.1
2300LS 11.1 0.77 0.77 3.15
2300LU 7.67 0.8 0.8 4.45
2300LV 66.92 0.2 0.12 8.59
2300LW 163.45 0.37 0.37 0.53
2300LZ 7.5 0.1 0.1 16.35
2300M2 45.38 2.47 2.47 2.68
2300M4 9.61 0.09 0.09 9.67
2300M3 4.47 0.76 0.76 0.66
2300M5 10.62 1.61 1.61 4.12
2300M7 23.72 1.3 1.3 4.83
2300M6 10.2 2.73 2.73 6.59
2300M8 15.42 1.94 1.94 11.15
2300M9 49.06 0.16 0.16 1.17
2300MA 1.7 1.1 1.1 3.71
2300MD 26.89 0.54 0.54 0.34
2300ME 16.44 0.77 0.77 0.86
2300MG 25.6 3.03 3.03 5.34
2300MF 32.62 0.2 0.2 0.3
2300MH 33.11 0.96 0.96 2.57
2300MK 7.9 0.19 0.19 2.48
2300ML 29.36 0.3 0.3 19.74
