#Atom_RMSD:ini opt rep pre zincid
0.0706733 0.0659277 0.0659277 0.0659277 ZINC000018323561
0.0942267 0.131919 0.131919 0.120288 ZINC000019091590
0.198759 0.143403 0.137416 0.137452 ZINC000019319542
0.0666714 0.070676 0.070676 0.0707067 ZINC000019325717_2
0.0502931 0.1028 0.086538 0.0866311 ZINC000019329234
0.170761 0.218566 0.218566 0.229345 ZINC000019345434
0.113609 0.116121 0.116121 0.112609 ZINC000019390946
0.181118 0.179733 0.179733 0.180528 ZINC000019470639
0.149896 0.0858507 0.0858507 0.0863142 ZINC000019504940
0.387518 0.124676 0.124676 0.124341 ZINC000019754878
0.116177 0.118623 0.118623 0.119309 ZINC000019770046n
0.0927037 0.12978 0.12978 0.130186 ZINC000019801200_1
0.114351 0.103265 0.103265 0.103431 ZINC000019831265_1
0.0880374 0.0760808 0.0760808 0.0760031 ZINC000019865660
0.320322 0.117419 0.117419 0.1171 ZINC000019909419
0.247125 0.0917538 0.0917538 0.0919994 ZINC000019947314_1
0.140432 0.163966 0.163966 0.163745 ZINC000020113932n
0.0874043 0.0797521 0.0797521 0.0851712 ZINC000020281466
0.0493699 0.0359165 0.0359165 0.0357287 ZINC000020282640_1
0.0984162 0.0668696 0.0668696 0.0678286 ZINC000020286599
0.1321 0.0591411 0.0591411 0.0581556 ZINC000020354504
0.0871049 0.081187 0.081187 0.0812336 ZINC000020380764n
0.431852 0.113135 0.113135 0.112607 ZINC000020440507
0.120565 0.123335 0.123335 0.122956 ZINC000020445716
0.175067 0.112829 0.112829 0.113822 ZINC000020534067
0.0614541 0.0615696 0.0615696 0.0612573 ZINC000020534579_1
0.0629243 0.0527551 0.0527551 0.0534143 ZINC000020581282_1
0.0897829 0.0537736 0.0537736 0.0551997 ZINC000020720251_1
0.163981 0.16035 0.16035 0.161098 ZINC000020973650n
0.113018 0.11001 0.11001 0.10761 ZINC000021297338
0.11925 0.0875405 0.0875405 0.0787693 ZINC000021949999
0.106583 0.0887253 0.0887253 0.0885009 ZINC000021949999n
0.0524623 0.0499391 0.0499391 0.0500308 ZINC000021953421
0.060757 0.0664348 0.0664348 0.0659976 ZINC000021953421_2
0.15138 0.159215 0.159215 0.157747 ZINC000021985153n
0.0567448 0.066822 0.066822 0.0672925 ZINC000022015856
0.0638688 0.0625426 0.0625426 0.0623047 ZINC000022055084
0.122955 0.127673 0.127673 0.127534 ZINC000022115648n
0.146572 0.160163 0.160163 0.161617 ZINC000022788807n
0.13883 0.0939225 0.0939225 0.0925536 ZINC000023066147
0.0906902 0.07091 0.07091 0.0715287 ZINC000023066147_1
0.124332 0.12771 0.12771 0.130231 ZINC000023070350
0.0894113 0.0556958 0.0556958 0.0556958 ZINC000023070350_1
0.115693 0.0591933 0.0591933 0.0585419 ZINC000025336397
