#E_RMSD:ini opt rep pre zincID
5.92978 0.126754 0.126754 0.263439 ZINC000008616088
1.61197 1.63722 1.63722 1.62413 ZINC000008618569
2.31591 2.7688 2.7688 2.74741 ZINC000008731869
4.80489 1.00718 1.00718 1.54158 ZINC000008731869n
0.585192 0.117686 0.117686 0.245459 ZINC000008755350
7.95 3.37 3.37 2.87 ZINC000009954092_1
0.02 0 0 0 ZINC000011567736
2.59 1.56237 1.56237 1.31881 ZINC000011567736n
4.67827 3.47883 3.47883 3.52387 ZINC000011597105n
1.38792 0.805651 0.805651 0.770277 ZINC000011631704n
3.405 3.39532 3.39532 3.3173 ZINC000011848828
2.73208 2.87318 2.87318 3.0637 ZINC000011848828n
0.516527 0.37081 0.37081 0.416773 ZINC000011867375
0.285167 0.794481 0.794481 0.681396 ZINC000011920335
4.89295 4.51726 4.51726 4.38858 ZINC000012153222
7.4216 3.44888 3.44888 3.50397 ZINC000012359370
1.74748 1.82747 1.82747 1.83412 ZINC000012360535n
0.0173205 0.0294392 0.0294392 0.0294392 ZINC000012394573
0.527797 0.942852 0.942852 0.897223 ZINC000012394573n
4.73804 4.71958 4.71958 4.2553 ZINC000012416954
2.83605 2.50317 2.50317 2.46436 ZINC000012433147
1.60683 0.604207 0.604207 0.204124 ZINC000012446871
2.51109 1.51358 1.51358 1.53501 ZINC000012504937
0.0707107 0.065192 0.065192 0.0707107 ZINC000012603478
2.25522 1.78771 1.78771 1.74794 ZINC000012650823_1
2.66 0.49 0.49 0.53 ZINC000013209422
0.117686 0.263154 1.66111 0.297405 ZINC000013228217
4.04332 3.23955 3.23955 3.32897 ZINC000013284845n
0.136821 0.116962 0.124338 0.123126 ZINC000013284968n
4.05065 2.1401 2.1401 2.11198 ZINC000013437802
3.92531 3.08826 3.08826 3.01877 ZINC000013525814
0.27 0.44 0.44 0.02 ZINC000013573731
0.657609 1.03945 1.03945 0.912168 ZINC000013637396
1.81021 0.13435 0.13435 0.438406 ZINC000013653875
2.74753 1.17122 1.17122 1.32924 ZINC000013653875n
2.9676 3.87273 3.87273 2.84307 ZINC000013858485
5.8761 2.2068 2.2068 2.27477 ZINC000013997957_1
1.01 0.49 0.49 0.47 ZINC000014988034
0.00707107 0.0212132 0.0212132 0.0282843 ZINC000015444386
3.98244 1.21759 1.21759 1.21873 ZINC000015864704
0.15 0.16 0.16 0.19 ZINC000016159453
4.11 0.18 0.18 0.18 ZINC000016954046_1
0.65 1.58 1.59 1.66 ZINC000017025509
0.12 0.12 0.12 0.12 ZINC000017107912_1
1.14 0.295042 0.295042 0.12 ZINC000017126154
1.48054 0.7658 0.7658 0.820975 ZINC000017142425_1
4.12011 3.35018 3.35018 3.07206 ZINC000017191210
3.34462 0.353553 0.353553 0.311127 ZINC000017299419
4.67 1.27 1.27 1.31 ZINC000018208791
3.97894 3.66656 3.66656 3.66656 ZINC000018323561
0.0141421 0.00707107 0.00707107 0.00707107 ZINC000019091590
8.93858 2.41472 2.26794 1.71159 ZINC000019319542
4.75145 2.61349 2.61349 2.67593 ZINC000019325717_2
3.70606 3.33036 2.31058 2.27112 ZINC000019329234
2.51247 4.37247 4.37247 4.16215 ZINC000019345434
2.32921 3.59981 3.59981 3.44754 ZINC000019390946
7.19477 3.71073 3.71073 3.93952 ZINC000019470639
2.93456 1.23965 1.23965 1.37126 ZINC000019504940
0 0 0 0 ZINC000019754878
0.54 1.42 1.42 1.24 ZINC000019770046n
6.50676 5.79584 5.79584 5.82422 ZINC000019801200_1
6.86887 0.48804 0.48804 0.486535 ZINC000019831265_1
3.72669 3.21495 3.21495 3.19828 ZINC000019865660
0.920489 0.127279 0.127279 0.0141421 ZINC000019909419
3.88247 1.12543 1.12543 1.13568 ZINC000019947314_1
2.35866 5.59966 5.59966 5.98357 ZINC000020113932n
0.66 0.39 0.39 0.65 ZINC000020281466
0 0 0 0 ZINC000020282640_1
0.03 0.04 0.04 0.04 ZINC000020286599
3.12541 0.0141421 0.0141421 0.0353553 ZINC000020354504
3.8377 3.19595 3.19595 3.19221 ZINC000020380764n
2.29103 1.8387 1.8387 1.68315 ZINC000020440507
0.00707107 0.0212132 0.0212132 0.0141421 ZINC000020445716
3.73419 0.497418 0.497418 0.492189 ZINC000020534067
0 0 0 0 ZINC000020534579_1
0.1 0.04 0.04 0.04 ZINC000020581282_1
0.79 0.83 0.83 0.83 ZINC000020720251_1
2.81883 2.7393 2.7393 2.81632 ZINC000020973650n
1.84307 2.16425 2.16425 2.02346 ZINC000021297338
1.07002 0.247639 0.247639 0.487571 ZINC000021949999
1.47858 0.916828 0.916828 0.937419 ZINC000021949999n
0.522558 0.0208167 0.0208167 0.0653197 ZINC000021953421
0 0.01 0.01 0.01 ZINC000021953421_2
4.1444 2.36312 2.36312 2.31397 ZINC000021985153n
3.40119 3.47118 3.47118 3.86672 ZINC000022015856
2.89507 3.07183 3.07183 3.08264 ZINC000022055084
2.2126 2.16892 2.16892 2.1634 ZINC000022115648n
6.18408 2.54712 2.54712 2.63323 ZINC000022788807n
4.64471 0.628092 0.628092 0.72519 ZINC000023066147
2.32655 2.30592 2.30592 2.53551 ZINC000023066147_1
3.99086 1.52527 1.52527 1.84761 ZINC000023070350
1.62446 1.34333 1.34333 1.34333 ZINC000023070350_1
0.947998 0.875785 0.875785 1.07327 ZINC000025336397
2.01258 1.95539 1.36536 0.710895 ZINC000025757901n
5.08309 3.4775 3.4775 3.7507 ZINC000026422980n
1.35057 1.36472 1.36472 0.671751 ZINC000026502377
2.4 2.4 2.4 0.63 ZINC000026742018
0 0 0 0 ZINC000026895446
1.17365 0.293343 0.293343 0.234307 ZINC000026898894
0 0 0 0 ZINC000028294478
0.92 0.33 0.33 0.21 ZINC000028873866
0.02 0.01 0.01 0.01 ZINC000028873866_2
6.88015 0.21272 0.21272 0.25387 ZINC000031819861
2.14084 2.19082 2.19082 2.19082 ZINC000032099445
1.82 0.16 0.16 0.2 ZINC000032182542
2.09675 0.990969 0.990969 0.767372 ZINC000032208683
1.43269 1.70891 1.70891 1.8623 ZINC000032501004
4.4219 2.70083 1.7011 1.72835 ZINC000032629462n
3.72646 1.90349 1.90349 1.90194 ZINC000032650373
1.34315 1.74724 1.74724 1.81538 ZINC000032919481_2
2.26255 1.78481 1.78481 1.7883 ZINC000033374122
4.05576 2.0809 2.0809 1.72409 ZINC000033487145
1.90938 2.37356 2.37356 2.36326 ZINC000033755328
0.16 0.32 0.32 0.32 ZINC000033779816
2.13008 0.330151 0.330151 0.34 ZINC000033855254_2
7.08525 4.64809 4.64809 4.65882 ZINC000034183726
0.89 0.2 0.2 0.33 ZINC000034235494
3.79009 1.23744 1.23744 1.52735 ZINC000034278388
4.87568 4.74363 4.74363 4.7883 ZINC000034290676_1
0.927038 0.205061 0.205061 0.282843 ZINC000034380900
3.79405 2.51983 2.50415 2.41719 ZINC000034380901
1.30432 0.18905 0.18905 0.193598 ZINC000034407239
0 0 0 0 ZINC000034490455
0 0 0 0 ZINC000034555277
0.26 0.48 0.48 0.45 ZINC000034571268_1
1.23602 0.761139 0.761139 0.985258 ZINC000034618206_1
2.05263 1.79417 1.79417 1.80319 ZINC000034771056
3.84198 2.91197 2.91197 2.71838 ZINC000035458091
3.82482 2.59343 2.59343 2.56125 ZINC000035570805
1.60751 5.61503 5.61503 5.80107 ZINC000035570805_1
1.84969 1.40328 1.40328 1.6359 ZINC000035644930
2.02356 2.59098 2.59098 2.33785 ZINC000035644930n
0.66 0.64 0.64 0.64 ZINC000035731136
0.299778 0.340294 0.340294 0.755535 ZINC000035970936
1.55166 1.44991 1.44991 1.31128 ZINC000036140943n
1.46 1.26 1.26 1.24 ZINC000036222630_1
2.39771 1.74506 1.74506 1.68501 ZINC000036472809
6.44001 1.87002 1.87002 2.94335 ZINC000036533315
0.01 0.12 0.09 0.11 ZINC000036722181_1
3.1794 0.883089 0.883089 0.862839 ZINC000037180282
