#Atom_RMSD:ini opt reo ret zincid
0.200226 0.254947 0.254947 0.25522 2300CX
0.446577 0.225011 0.225011 0.22564 2300CY
0.175818 0.118371 0.118371 0.118645 2300CZ
0.557261 0.331592 0.331592 0.331264 2300D0
0.0589438 0.0680203 0.0680203 0.0687135 2300D2
0.147373 0.157841 0.157841 0.157841 2300D3
0.333072 0.282893 0.282893 0.327301 2300D4
0.337402 0.290651 0.268374 0.293607 2300D5
0.121467 0.15094 0.15094 0.150935 2300D7
0.418201 0.145577 0.125287 0.123436 2300D8
1.01702 0.356602 0.356602 0.36265 2300DA
0.281253 0.277264 0.277264 0.209364 2300DB
0.721626 0.434035 0.434035 0.512613 2300DD
0.188199 0.279885 0.279885 0.257891 2300DE
0.496939 0.469777 0.469777 0.471777 2300DG
0.169263 0.164784 0.164784 0.163965 2300DI
0.321747 0.293153 0.293153 0.29413 2300DJ
0.323753 0.307748 0.307748 0.308115 2300DK
0.104811 0.0935677 0.0935677 0.0941452 2300DM
0.55045 0.169425 0.169425 0.169689 2300DO
0.477262 0.208772 0.208772 0.208754 2300DP
0.522581 0.411252 0.411252 0.411164 2300DQ
0.472323 0.112134 0.112134 0.115743 2300DT
0.320912 0.415444 0.415444 0.415457 2300DU
0.101045 0.073902 0.073902 0.0749891 2300DV
0.28149 0.287505 0.287505 0.265086 2300DW
0.152394 0.171926 0.171926 0.174862 2300DX
0.551792 0.161452 0.161452 0.159753 2300DY
0.296702 0.286417 0.286417 0.287939 2300DZ
0.519112 0.172569 0.172569 0.174227 2300E0
0.0777595 0.0767273 0.0767273 0.0771343 2300E2
0.467546 0.466556 0.466556 0.466605 2300E3
0.0871233 0.0535508 0.0535508 0.0549179 2300E4
0.265152 0.259631 0.259631 0.294635 2300E5
0.348548 0.407846 0.407846 0.3389 2300E6
1.07736 0.123431 0.123431 0.114192 2300E7
0.454758 0.429941 0.429941 0.335214 2300E8
0.101327 0.082812 0.082812 0.0833989 2300E9
0.348135 0.128961 0.128961 0.12805 2300EA
0.466553 0.529557 0.529557 0.526905 2300EB
0.137722 0.167733 0.167733 0.164705 2300EC
0.145076 0.136653 0.136653 0.136223 2300ED
0.190208 0.225336 0.225336 0.212125 2300EE
0.822103 0.606304 0.606304 0.611436 2300EF
0.857364 0.537477 0.537477 0.543097 2300EG
0.279205 0.401181 0.401181 0.294921 2300EH
0.358341 0.403372 0.403372 0.404079 2300EI
0.281371 0.360521 0.360521 0.360521 2300EJ
0.322096 0.274953 0.274953 0.279067 2300EK
0.33631 0.298669 0.245291 0.248429 2300EM
0.510678 0.504752 0.504752 0.503267 2300EO
0.226424 0.278706 0.278706 0.216632 2300EP
0.565647 0.565636 0.565636 0.532352 2300EQ
0.211165 0.213352 0.213352 0.213722 2300ER
0.0667677 0.151056 0.151056 0.150827 2300ET
0.261119 0.0775528 0.0775528 0.0776146 2300EU
0.287132 0.156395 0.156395 0.153239 2300EV
0.113699 0.146693 0.146693 0.133923 2300EW
0.235308 0.202995 0.202995 0.201473 2300F0
0.0775499 0.0689126 0.0689126 0.0689126 2300F1
0.098602 0.11999 0.11999 0.120378 2300F2
0.209821 0.0898434 0.0898434 0.0905974 2300F3
0.262926 0.228842 0.228842 0.220828 2300F4
0.351771 0.311992 0.309487 0.309572 2300F5
0.775737 0.410154 0.410154 0.412093 2300F6
